source_header,question,answer
International campuses and quality assurance,What is the main purpose of the quality assurance policy for the University of Nottingham's international campuses?,"The main purpose of the policy is to ensure parity of experience and maintain academic standards across all three campuses in the UK, China, and Malaysia. This helps in maintaining the value of degrees and meeting the requirements of regulators in each jurisdiction where the university operates."
International campuses and quality assurance,How are responsibilities for quality assurance delegated across the University of Nottingham's international campuses?,"Responsibilities are delegated at the discretion of individual Schools, but all actions must adhere to the principles set out in the Quality Manual. Schools must document these delegations formally in Statements of Responsibility, which are reviewed annually. While Schools can give autonomy to units on international campuses, they retain a general monitoring function to ensure adherence to university policies."
International campuses and quality assurance,How does the University of Nottingham ensure consistency in teaching and assessment across its international campuses?,"The policy mandates that all modules delivered across multiple campuses must observe the same standards of learning outcomes and core subject matter, though content may vary. A single Board of Examiners is used for programs taught on more than one campus, with representation from all campuses to ensure consistency in assessment, progression, and awards."
Regulations for the Degree of Doctor of Philosophy (PhD) and Master of Philosophy (MPhil),Can students at the University of Nottingham campuses in China and Malaysia write their thesis in a language other than English?,"No, students registered for a University of Nottingham qualification must conduct all teaching and assessment in English, unless their subject of study is a language or literature other than English. This regulation applies across all UK, China, and Malaysia campuses."
Regulations for the Degree of Doctor of Philosophy (PhD) and Master of Philosophy (MPhil),What should a student at the University of Nottingham do if they need more time to complete their thesis during the thesis-pending period due to unforeseen circumstances?,"A student can apply for an extension to the thesis-pending period in exceptional circumstances, such as illness or personal emergencies. The application should be submitted no less than three months before the end of the thesis-pending period and must include support from the student’s School. A detailed plan for completing the thesis must also be provided."
Regulations for the Degree of Doctor of Philosophy (PhD) and Master of Philosophy (MPhil),What are the possible outcomes after a viva voce examination for a PhD candidate at the University of Nottingham?,"After a viva voce examination, the examiners may recommend several outcomes: awarding the degree as submitted, awarding the degree subject to minor corrections or typographical error corrections, requiring a second viva and resubmission of the same thesis, resubmission in a revised form within 12 months, or not awarding the degree at all. If the thesis is resubmitted, additional outcomes could include being awarded an MPhil instead of a PhD."
Changes of taught course,What should a student at the University of Nottingham do if they want to change their taught course but are unsure about how their immigration status might affect the process?,"Students who are in the UK on a Student Route visa should be aware that the University's Policy on Immigration Sponsorship will take precedence over academic policies if there is any conflict. It's important for such students to consult the immigration policies and consider their immigration status before requesting a course change. For more detailed guidance, they can consult the University's immigration sponsorship information."
Changes of taught course,"Are students allowed to change their course at any point during the academic session, and what are the conditions for postgraduate students?","Undergraduate students can change their course without going back a stage only within the first three weeks of the session, or at the end of the Autumn semester, or at the end of the session. For postgraduate taught students, a course transfer can occur only in the first three weeks of either the Autumn or Spring Semester. If a transfer occurs in the Spring Semester, the new course's school must confirm that the student possesses the necessary prerequisite knowledge to succeed."
Changes of taught course,What steps should apprentices take if they are considering changing their taught course at the University of Nottingham?,"Apprentices need to discuss their intention to change course immediately with their employer and their School, as it affects their employment contract and apprenticeship commitment statement. If they are considering moving to a non-apprenticeship program, they should be aware that they will become personally responsible for their tuition fees, whether as a part-time or full-time student. It's crucial for apprentices to understand these implications fully before proceeding with a course change."
Role and responsibilities of Senior Tutors,What are the main responsibilities of a Senior Tutor at the University of Nottingham?,"Senior Tutors at the University of Nottingham are responsible for coordinating student support and development activities within their School or unit. Their duties include overseeing personal tutoring systems, providing training for personal tutors, assisting students who need to change their personal tutor, advising on tutor-to-student ratios, and ensuring that personal tutoring is effectively integrated into the School’s operations. They also liaise with colleagues responsible for student support aspects, monitor the effectiveness of support systems, and ensure relevant information is disseminated."
Role and responsibilities of Senior Tutors,How does the Senior Tutor Network (STN) support Senior Tutors in their roles?,"The Senior Tutor Network (STN) supports Senior Tutors by providing a platform for information exchange and professional development. All Senior Tutors automatically become members and are expected to participate actively in the STN meetings, which occur throughout the year. The STN acts as a communication channel with the University Executive Board and enables Senior Tutors to collaborate and share resources. International campus Senior Tutors also regularly liaise with the University Senior Tutor and have access to the STN workspace for additional support."
Role and responsibilities of Senior Tutors,What steps are taken to ensure new personal tutors are effectively inducted into their roles?,"Senior Tutors are responsible for ensuring appropriate induction for new personal tutors. This includes providing relevant information and training to help them fulfill their roles effectively. Additionally, Senior Tutors organize biennial refresher training and work with other Senior Tutors through the Senior Tutor Network to develop and share resources for this purpose. They also update and disseminate guidance tailored to their School’s specific needs, supplementing the University’s overall guidance for personal tutors."
Policy on academic misconduct,"What is academic misconduct according to the University of Nottingham's policy, and can you give an example?","Academic misconduct at the University of Nottingham is any inappropriate activity or behavior by a student that could give them or another student an unfair academic advantage in a summative assessment. An example of this would be approaching a third party for help during an examination, even if that help isn't used in the final assessment."
Policy on academic misconduct,Is using a proofreader considered plagiarism under the University's policy?,"Using a proofreader is not considered plagiarism, as long as the proofreader only identifies spelling and basic grammar errors and does not correct inaccuracies in academic content or change the structure of the work. Students should ensure that the use of a proofreader complies with the University’s Policy on Proofreading and any specific School/Department policies."
Policy on academic misconduct,What should a student at the University of Nottingham do if they are uncertain about using certain software for an assessment?,"If a student is unsure about whether certain software is permitted for an assessment, they are responsible for confirming this with their School or Department. The policy emphasizes that students must familiarize themselves with the local policies on what is and isn't allowed to ensure compliance and maintain academic integrity."
Responsibilities of the supervisor,What is the role of an assistant supervisor in the supervision of postgraduate researchers at the University of Nottingham?,"Assistant supervisors at the University of Nottingham provide regular support and advice to postgraduate researchers (PGRs). Their responsibilities include offering guidance on welfare matters, health and safety, and research techniques, as well as helping to resolve difficulties that PGRs may encounter. They may also provide informal feedback on written work and contribute to progress reporting, as agreed with the lead supervisor. Additionally, assistant supervisors are encouraged to engage in professional development to enhance their supervisory skills."
Responsibilities of the supervisor,"How often should supervision meetings occur for full-time and part-time postgraduate researchers, and what happens if a meeting is missed?","Full-time postgraduate researchers are required to have a minimum of 12 recorded supervision meetings per year, while part-time researchers should have at least 6. These meetings should typically occur monthly for full-time students and every two months for part-time students. If a meeting is missed, the supervisor must ensure that the reason is documented, and efforts should be made to reschedule the meeting at the next available opportunity. The University monitors missed meetings to provide additional support if necessary, especially for students at risk of breaching visa requirements."
Responsibilities of the supervisor,How does the University of Nottingham support supervisors in their professional development?,"The University of Nottingham supports supervisors through continuous professional development opportunities. Supervisors are encouraged to update their knowledge and skills by participating in various activities and sharing best practices. The Researcher Academy provides more information and resources to help supervisors enhance their supervisory practice, ensuring they can effectively support their postgraduate researchers."
The Thesis-pending period (including policy on extension),"What is the Thesis-pending period, and who is eligible for it at the University of Nottingham?","The Thesis-pending period is a designated time frame given to research degree students at the University of Nottingham to finalize their thesis after completing their registered study period. This period lasts up to 12 months for full-time students and 24 months for part-time students. It's specifically available to students enrolled in doctoral level and Master of Philosophy degrees. However, students in 1-year research degrees, like the Master of Research, are not eligible for a Thesis-pending period."
The Thesis-pending period (including policy on extension),"How does the University of Nottingham handle requests for extensions to the Thesis-pending period, and what are some valid reasons for these extensions?","To apply for an extension to the Thesis-pending period, students must submit their application with supporting evidence to Student Services at least three months before the end of the Thesis-pending period. The application requires the support of the principal supervisor and the Head of School and must include a plan detailing completed and remaining thesis work. Valid reasons for extensions typically include exceptional personal circumstances, such as illness, maternity, or the death of a close relative. Extensions are not generally granted for reasons like paid employment or voluntary service during the Thesis-pending period."
The Thesis-pending period (including policy on extension),Are the Covid-19 exceptional regulations for the Thesis-pending period still in effect at the University of Nottingham?,"As of the academic year 2021/22, the University of Nottingham has ceased the active application of most Covid-19 exceptional regulations related to the Thesis-pending period, except at the University of Nottingham Malaysia (UNM), where these regulations continue to be applicable due to ongoing circumstances. Any outcomes from the exceptional regulations applied during the 2019/20 and 2020/21 academic years will still be honored for affected students across all campuses."
Module specification guidance,What are the key considerations for naming a new module at the University of Nottingham?,"When naming a new module, the title must be unique and cannot duplicate the name of another module. It should be concise, accurately reflect the subject content, and be engaging to prospective students. If there are multiple versions of the same module, the titles should be distinguished using brackets, such as ""Accessing America (20 credits)."""
Module specification guidance,"How are credits assigned to modules, and what are the exceptions?","Credits for modules are assigned based on the notion that one credit represents about 10 hours of student input. Modules typically have credit values of 10, 20, 30, 40, 50, or 60, but for MRes programs, larger credit sizes like 80, 100, 120, 140, or 160 are allowed. Any module sizes outside these ranges require special approval, especially if there are exceptional circumstances, like a Professional, Statutory, and Regulatory Body (PSRB) requirement."
Module specification guidance,What is the significance of HECoS codes in module specifications at the University of Nottingham?,"HECoS codes, or Higher Education Classification of Subjects codes, are essential for categorizing modules in the University's annual student data return to the Higher Education Statistics Agency (HESA). These codes help identify strategically important subjects, define sensitive subjects requiring an Academic Technology Approval Scheme (ATAS) certificate, and determine the subject's grouping in performance metrics like league tables. Using a vague or inaccurate HECoS code can significantly impact the funding and classification of a module."
Responsibilities of the Postgraduate Student Advisor,What is the main role of the School Postgraduate Student Advisor (SPSA) at the University of Nottingham?,"The main role of the SPSA is to provide independent and confidential advice and support to research postgraduate students. This includes addressing queries about university regulations, helping with difficulties in the supervisory relationship, and providing guidance on research progress and available resources. If the SPSA is also the student's supervisor, the student should seek advice from other academic staff."
Responsibilities of the Postgraduate Student Advisor,How does the University of Nottingham ensure the confidentiality of consultations between research students and the SPSA?,"The SPSA is responsible for maintaining strict confidentiality when advising students. If a serious issue is discussed, the SPSA should carefully document the problem, discussions, and any outcomes, ensuring the record is agreed upon with the student. Depending on the confidentiality level agreed with the student, the SPSA may report the issue to the Head of School or other relevant university authorities."
Responsibilities of the Postgraduate Student Advisor,Were there any specific changes to the responsibilities of the SPSA during the 2020/21 academic year due to the Covid-19 pandemic?,"Yes, during the 2020/21 academic year, additional guidance was introduced in response to Covid-19. This guidance applied specifically to Heads of School, Supervisors, and Directors of PGR Programmes, complementing the existing policies. It was developed alongside the University's Exceptional Regulations to address the unique challenges posed by the pandemic."
Regulations for the collection and use of Student Evaluation of Teaching surveys,What are the main responsibilities of staff being evaluated by the Student Evaluation of Teaching (SET) surveys at the University of Nottingham's China campus?,"Staff being evaluated by SET surveys have several responsibilities, including agreeing on appropriate dates for the survey with the Faculty office, informing students about the survey's purpose and duration, ensuring students have time to complete it, and displaying necessary information like the Blue Castle address and PIN for non-standard surveys. They should also monitor participation, report any issues with the survey, and be prepared to discuss SET reports during their Appraisal and Development Conversation (ADC)."
Regulations for the collection and use of Student Evaluation of Teaching surveys,How does the University of Nottingham handle abusive comments in SET surveys?,"The university has a strict policy against abusive and personal comments in SET surveys. If a staff member receives an abusive comment, they should report it to an agreed person, such as the Head of School or Director of Learning and Teaching, who will then inform the EVALUATE team to remove the comment. Common sense principles and the University's Code of Discipline help determine if a comment is abusive. Offenders can be identified and potentially face disciplinary action."
Regulations for the collection and use of Student Evaluation of Teaching surveys,Can staff at the University of Nottingham's China campus publish their SET survey scores?,"Yes, staff are permitted, but not required, to publish their SET survey scores. The SET results are considered confidential, but staff can choose to share their scores if they wish. Access to SET results is limited to specific roles within the University, such as members of the Management Board, Faculty Associate Dean for Education and Student Experience, and Promotions Committee members, who need this information to fulfill their responsibilities."
Regulations for the collection and use of Student Evaluation of Module surveys,Who is responsible for collecting SEM data when a module is taught by multiple teachers at the University of Nottingham?,"When a module is taught by more than one teacher, the School is responsible for appointing someone from the teaching team to collect the SEM evaluation. This person is typically the module convenor, the senior teacher, or the team lead."
Regulations for the collection and use of Student Evaluation of Module surveys,What should staff do if they encounter abusive comments in SEM surveys?,"If staff receive a comment they believe to be abusive, they should report it to a designated person in the School, such as the Head of School or Director of Education and Student Experience. This person will then report the abuse to the EVALUATE team, who will remove the offensive comments and ratings from the system."
Regulations for the collection and use of Student Evaluation of Module surveys,How can students access the published SEM scores for their modules?,"Published SEM scores must be available to students who have completed the module and those considering taking it in the future. These scores should be presented within a feedback or module review template, available in locations accessible to relevant students, such as the School Content Management System (CMS) or a community page in Moodle."
Independent Assessors role,What are the main responsibilities of an Independent Assessor (IA) at the University of Nottingham for Apprenticeship Integrated End-Point Assessments?,"Independent Assessors are responsible for conducting End-Point Assessment activities according to the relevant apprenticeship Standard. This includes reviewing evidence, observing and assessing practice, and determining grades for observations and professional discussions. They also participate in assessment training, submit CPD records annually, and ensure their conflict-of-interest declarations are up to date."
Independent Assessors role,How does the University of Nottingham ensure that Independent Assessors are adequately prepared for their role?,"The University provides guidance and training to Independent Assessors, which includes an induction and relevant training for EPA delivery. If an IA has no prior experience, they may be appointed to a team or mentored by a more experienced IA. Heads of School are responsible for providing IAs with necessary information on University policies, marking, and assessment standards, as well as mandatory training materials."
Independent Assessors role,"What steps are taken if an Independent Assessor fails to fulfill their responsibilities, such as not submitting a summary report on time?","If an Independent Assessor does not submit their annual summary report within the stipulated timeframe, it may lead to the IA not being re-appointed in the subsequent year. The School is responsible for ensuring compliance with report requirements and communicating any subsequent actions taken based on the reports to both the IA and the Registry and Academic Affairs team."
University of Nottingham Online Extenuating circumstances regulation,What should a University of Nottingham Online learner do if they can't submit their assessment on time for a Microcredential?,"If a learner can't submit their assessment on time, they need to submit an extenuating circumstances claim for UoNO to consider their situation. This claim must be made before the final submission deadline, as requests made on or after this deadline will not normally be considered."
University of Nottingham Online Extenuating circumstances regulation,Are University of Nottingham Online learners required to provide evidence for their extenuating circumstances claim?,"No, learners are not required to provide evidence to support their extenuating circumstances claim. They just need to outline the circumstances that impacted their ability to complete the Microcredential."
University of Nottingham Online Extenuating circumstances regulation,What are the criteria for a situation to be considered an extenuating circumstance at the University of Nottingham Online?,"For a situation to be considered an extenuating circumstance, it must be exceptional (different from usual day-to-day life), outside of the student's control (nothing could be done to prevent it), and have a significant negative impact on the student's ability to study or complete an assessment. Additionally, the timing of the circumstances must be relevant to the claimed impact and typically short-term."
Degree outcomes statement,What is the purpose of the Degree outcomes statement at the University of Nottingham?,The Degree outcomes statement is intended to analyze the university's institutional degree classification profile and articulate the results of an internal institutional review. This initiative is part of the UK Standing Committee for Quality Assessment's framework to ensure transparency and quality in higher education.
Degree outcomes statement,Where can staff and students find the current Degree outcomes statement for the University of Nottingham?,Staff and students can access the current Degree outcomes statement on the university's website. The statement has been prepared in accordance with guidance from the Quality Assurance Agency (QAA).
Degree outcomes statement,Who should I contact if I have questions about the Degree outcomes statement at one of the University of Nottingham's international campuses?,"If you're a student at the University of Nottingham's Ningbo China campus, contact Academic-Service-Office@nottingham.edu.cn. For the Malaysia campus, email student_registry@nottingham.edu.my. Staff can direct their inquiries to Quality-Manual-Enquiries@nottingham.ac.uk."
Quality and Standards Committee,What is the main role of the Quality and Standards Committee at the University of Nottingham?,"The main role of the Quality and Standards Committee (QSC) is to oversee the development and review of academic regulations, policies, procedures, and codes of practice related to quality and standards at the University. It also approves programme withdrawals, requests for cases outside regulations, and appointments of External Examiners while reviewing their reports."
Quality and Standards Committee,"How are faculty representatives appointed to the Quality and Standards Committee, and what criteria must they meet?","Faculty representatives are appointed through nominations, and if there is more than one nominee, they are interviewed. Candidates must have experience with quality assurance structures, knowledge of the Quality Manual and University of Nottingham Qualifications Framework, and strong analytical and communication skills. The term of service is four years, with certain conditions regarding reappointment."
Quality and Standards Committee,What kind of support can members of the Quality and Standards Committee expect in their roles?,"Members can expect full support and guidance from Registry and Admissions team members, who provide information on handling appeals and issues related to programme specifications. This includes guidance on decisions that might need to be made notwithstanding regulations, ensuring committee members can effectively perform their duties."
Supplementary regulations for the Professional Doctorate in Education (EdD),What are the admission requirements for the Doctor of Education (EdD) program at the University of Nottingham?,"To be admitted to the EdD program, candidates must either hold a bachelor's degree with first or upper second class honors from an approved university or qualifications deemed equivalent by the University. Additionally, candidates are expected to have a minimum of two years' relevant professional experience in a related field. All applicants must provide examples of academic writing and undergo an interview."
Supplementary regulations for the Professional Doctorate in Education (EdD),"How is the thesis component structured for the Doctor of Education degree, and what are the requirements?","The thesis component for the EdD degree involves conducting original research on an approved topic in the field of education. Candidates are generally required to complete a 50,000-60,000 word thesis, or alternatively, a thesis portfolio with three linked research pieces, each 10-12,000 words, and a 20-24,000 word overview and meta-analysis. The thesis or portfolio should demonstrate the candidate's ability to integrate academic analysis with practical application, and may include educational products like films or software as part of the submission."
Supplementary regulations for the Professional Doctorate in Education (EdD),"What are the possible outcomes after the viva voce examination for EdD candidates, and what happens if a thesis needs to be resubmitted?","After the viva voce examination, the Examiners may recommend several outcomes for EdD candidates, such as the award of the degree, award subject to typographical corrections or minor amendments, the need for a second viva voce, or resubmission of the thesis within twelve months. If a thesis is resubmitted, the outcomes can include awarding the degree with or without conditions or, for PhD students, awarding an MPhil degree. If the thesis fails, candidates may be eligible for a Postgraduate Diploma in Education Research, depending on their completed taught credits. However, MPhil awards are not applicable at the University of Nottingham Ningbo China (UNNC) due to local context."
UoN microcredentials,"What are microcredentials at the University of Nottingham, and who are they intended for?","Microcredentials at the University of Nottingham are specialized study regulations and guidelines designed for UoNO staff and learners. While they are primarily meant for this group, they may also interest staff at the university's campuses in the UK, China, and Malaysia."
UoN microcredentials,"If I'm a student at the University of Nottingham's Malaysia campus and have a question about microcredential regulations, whom should I contact?","If you're a student at the Malaysia campus and have questions about microcredential regulations, you should reach out to the student registry at student_registry@nottingham.edu.my."
UoN microcredentials,"How often is the microcredential policy content updated at the University of Nottingham, and when was the last update?","The microcredential policy content is updated as needed, and the last modification was made on 14 March 2024."
UoNO Verification Service,What is the role of the University of Nottingham in the verification process for CPD providers' learning products?,"The University of Nottingham verifies claims made by CPD providers about their learning products, ensuring that the learning outcomes promised are met. However, the university does not endorse or recommend these products. Instead, it confirms the accuracy of the claims made by the CPD providers through a detailed verification process."
UoNO Verification Service,Can learners use the digital badge awarded by the University of Nottingham for degree credit purposes?,"No, the digital badge awarded by the University of Nottingham upon successful completion of a verified learning product is not recognized for degree credit purposes. The verification is only applicable to learning products below degree level, and the badge serves as digital confirmation of achieving the learning outcomes, not as a contribution towards a degree qualification."
UoNO Verification Service,What happens if concerns are raised during Phase 3 of the verification process?,"If concerns arise during Phase 3, which involves evaluating a sample of learners' completed work, the Academic Director may request additional information from the client. If unresolved, the UoN Digital Badges will not be issued to that cohort. This decision, along with the reasons, should be reported to the Quality and Student Management Systems team for further action, and the learning product may undergo the verification process again."
Role and responsibilities of the Internal Assessor,What are the eligibility criteria for someone to act as an Internal Assessor in a research degree programme at the University of Nottingham?,"To be eligible as an Internal Assessor, a person should have either supervised at least one PGR student to completion, examined at least one UK PhD, or completed at least one previous UK progression review for a research degree. They must also undertake continuous professional development in relevant postgraduate educational areas, possess sufficient knowledge of the subject area, and typically be a University of Nottingham employee or have a contractual arrangement with the university. Importantly, they should be independent of the student and supervisory team and have no personal relationship with them."
Role and responsibilities of the Internal Assessor,What should an Internal Assessor do if a relationship develops between them and the PGR student?,"If a relationship develops between the Internal Assessor and the PGR student, the Assessor is required to step down from their role and inform the Head of School. This ensures that the progression review process remains independent, fair, and unbiased."
Role and responsibilities of the Internal Assessor,Can an Internal Assessor also serve as an Internal Examiner for the PGR? Under what conditions is this allowed?,"Yes, an Internal Assessor can also act as an Internal Examiner for the PGR, but this is not mandatory. To serve in this capacity, they must meet all the requirements for an External Examiner, particularly those concerning appropriate expertise in the field or discipline. If there is any risk of conflict of interest or lack of impartiality, the Internal Assessor should not take on the role of Internal Examiner."
Role and appointment of examiners for research degree programmes,What is the process for appointing examiners for a research degree at the University of Nottingham?,"The process begins with the student submitting a ""Notification of submission of thesis for examination of a research degree"" form, signed by their supervisor, at least three months before the thesis submission. The Head of School then nominates Internal and External Examiners, possibly involving the supervisor and candidate in discussions. Once the nominations are finalized, the Head of School sends them to Registry and Academic Affairs for approval. There must be no contact between candidates and Examiners until the viva voce examination, except for arranging it."
Role and appointment of examiners for research degree programmes,Can a newly appointed academic staff member at the University of Nottingham act as an Internal Examiner for a research degree?,"Yes, an academic staff member in their first appointment can act as a sole Internal Examiner if they have prior UK doctoral or MPhil PGR examining experience. If they lack this experience, an Independent Chair should be appointed to monitor their conduct. Heads of Schools can apply to the Quality and Standards Committee for permission to allow a new staff member to act without an Independent Chair if a strong case is made based on their educational and professional background."
Role and appointment of examiners for research degree programmes,How does the role of the Internal Examiner differ from that of the External Examiner in the viva voce examination?,"The Internal Examiner participates in the viva voce examination and ensures that the administrative arrangements are in place, including any reasonable adjustments for the student. They also remind the External Examiner to submit their independent report before the viva. Both Examiners submit independent reports and a joint recommendation on the degree award. The External Examiner, however, leads the viva voce examination and ensures that the student's work meets standards comparable to other institutions."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2019,"What are the admission requirements for the DClinPsy program at the University of Nottingham, and are there any special conditions for international students?","To be admitted to the DClinPsy program, candidates must have a Bachelor's degree in Psychology or an equivalent subject recognized by the British Psychological Society as conferring Graduate Basis for Chartership, typically with a first or upper second class honors. Those with a lower second class may be considered if they have a postgraduate degree at the Master's level or higher. Candidates must meet the NHS person specification for a Clinical Psychologist in Training, have relevant practical experience, and be able to travel to the University of Nottingham and University of Lincoln for classes and placements. International students whose first language is not English must demonstrate English proficiency with a British Council IELTS score of at least 7.5, Pearson Test of English Academic score of 73, or pass a CELE pre-sessional course with High Distinction."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2019,"How is the DClinPsy program structured, and what are the credit requirements for completing the degree?","The DClinPsy program is structured to include 180 credits of taught provision, 80 credits of placement/taught provision, and 280 credits of research project provision, which culminates in a Research Project Portfolio. The program requires a total of 540 credits, with 100 credits at Level 7 and the remaining 440 credits at Level 8. All modules are compulsory, and students must complete a minimum of 3 years of full-time supervised study, including clinical placements and a research project."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2019,"If a trainee faces difficulties due to extenuating circumstances, what is the procedure for seeking an extension on assignments?","Trainees experiencing extenuating circumstances that may impact their ability to submit assignments on time should request an extension in advance using the Extension Request Form. Extensions of up to two weeks can be approved by the module convenor, while longer extensions require approval from the Co-director. Trainees with a known disability or long-term condition should inform their Personal Tutor early on to make necessary arrangements. If circumstances arise that delay the submission of the Research Project Portfolio, trainees should notify their academic supervisor to agree on alternative dates. Claims made after the deadline may raise fitness to practise concerns."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2023 intake),Can someone explain the structure and credit distribution of the Doctor of Clinical Psychology (DClinPsy) program?,"Certainly! The DClinPsy program is structured over three years and includes a total of 540 credits. It consists of 180 credits of taught provision, 90 credits of placement/taught provision, and 270 credits dedicated to research projects, which include creating a Research Project Portfolio. This combination ensures a comprehensive training experience that covers academic, practical, and research components."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2023 intake),What happens if a trainee fails an assessment component in the DClinPsy program?,"If a trainee fails a taught assessment element, they are given a single in-year resit opportunity. If they fail the resit, it results in program failure. For clinical placements, a trainee is allowed one resit opportunity for a failed placement. Failure in a second clinical placement also leads to program failure. For research components, failing a research assessment element allows for an in-year resit opportunity, but failing the resit will result in program failure."
Supplementary regulations for the Degree of Doctor of Clinical Psychology (DClinPsy) from September 2023 (2023 intake),How are complaints handled if they involve both universities in the DClinPsy program?,"If a complaint involves substantive elements related to both the University of Lincoln and the University of Nottingham, the investigation and determination will follow the Complaints Procedures of the trainee's degree-awarding university. The other university involved will provide full cooperation during the process to ensure a fair and thorough resolution."
Exceptional Regulations: Covid-19 - UNUK - 2019/20 to 2020/21,"What were the exceptional regulations introduced by the University of Nottingham in response to the Covid-19 pandemic, and for which academic years were they applicable?","The University of Nottingham introduced exceptional regulations during the 2019/20 and 2020/21 academic years in response to the Covid-19 pandemic. These regulations included policies on extenuating circumstances, safety-net marks, incomplete module outcomes, dissertations, classification, progression, and more. They were designed to address the challenges posed by the pandemic and were specific to the University of Nottingham UK (UNUK)."
Exceptional Regulations: Covid-19 - UNUK - 2019/20 to 2020/21,"Are any of the Covid-19 exceptional regulations still in effect at the University of Nottingham, and if so, which ones?","As of the beginning of the 2021/22 academic year, the active application of all Covid-19 exceptional regulations at the University of Nottingham UK has ceased, except for those concerning admissions. These admission-related regulations will remain active until 30 September 2022."
Exceptional Regulations: Covid-19 - UNUK - 2019/20 to 2020/21,How does the University of Nottingham handle outcomes from the exceptional regulations applied during the pandemic years?,The University of Nottingham ensures that any outcomes from the application of exceptional regulations during the 2019/20 and 2020/21 academic years will continue to be honored and used in all future decision-making regarding those affected. This ensures that the measures taken during the pandemic remain valid in assessing the academic progress and achievements of students impacted by these regulations.
Policy on minimum English language entry requirements,What are the minimum IELTS requirements for students applying to an integrated foundation course at the University of Nottingham?,"For integrated foundation courses, students need to have an IELTS score of 6.0 with no less than 5.5 in any element. This is the minimum requirement for entry into the initial foundation year for NQF Level 6 or 7 qualifications."
Policy on minimum English language entry requirements,Can EU or international students use their secondary education as proof of English proficiency for admission to the University of Nottingham?,"Yes, EU and international students can use their secondary education as proof of English proficiency if they have completed the whole of their secondary education up to and including the equivalent of year 12 (including a GCSE-equivalent English qualification) in one of the countries recognized by the Home Office."
Policy on minimum English language entry requirements,What should a prospective student do if they have questions about the English language requirements or admissions process at the University of Nottingham?,"If a prospective student has questions about the English language requirements or the admissions process, they should contact the Admissions Office. For specific queries, they can reach out to the respective admissions offices for the UK, China, or Malaysia campuses using the provided contact information. Additionally, they can email Quality-Manual-Enquiries@nottingham.ac.uk for further assistance."
Admissions,What qualifications does the University of Nottingham accept to meet its minimum English language requirements for international students?,"The University of Nottingham accepts qualifications from students who have either completed their entire education in English, including a recognised undergraduate or full master's degree, or completed secondary education up to year 12 in countries on the Home Office list. For specific qualifications, students can refer to the university's English language equivalencies document or the Minimum English Entry Requirements page."
Admissions,"Are there specific countries whose degree qualifications are deemed acceptable for English language proficiency, even if they aren't on the Home Office list?","Yes, the University of Nottingham accepts degree-level qualifications from certain countries even if they're not on the Home Office list. These include countries like Canada (non-bilingual institutions), India, Nigeria, and South Africa, among others. Each institution must be recognised by the university, and some countries have selected institutions that qualify."
Admissions,"If a student doesn't meet the normal English language requirements but believes they have sufficient proficiency, what can they do?","If a student doesn't meet the standard English language requirements but believes they have the necessary proficiency, they can submit alternative evidence to the Head of Admissions using the Acceptable Alternative English Language Evidence form. This evidence must show documented proficiency in listening, reading, speaking, and writing. Performance at an interview alone won't be accepted as sufficient evidence."
Exceptional Regulations: Covid-19 - UNNC - 2019/20 to 2020/21,What was the purpose of the exceptional regulations introduced at the University of Nottingham Ningbo China during the 2019/20 and 2020/21 academic years?,The exceptional regulations were developed in response to the coronavirus pandemic to address the unique challenges faced by staff and students at the University of Nottingham Ningbo China during the 2019/20 and 2020/21 academic years. These regulations were campus-specific and designed to complement the existing policies in the Quality Manual.
Exceptional Regulations: Covid-19 - UNNC - 2019/20 to 2020/21,"How long did the University of Nottingham Ningbo China actively apply the Covid-19 exceptional regulations, and what happens to the outcomes from these regulations?","The active application of the Covid-19 exceptional regulations at the University of Nottingham Ningbo China ceased at the beginning of the 2021/22 academic year. However, any outcomes resulting from the application of these regulations during the 2019/20 and 2020/21 academic years will continue to be honored and used in future decisions regarding those affected."
